,Unnamed: 0,Median Age,Median Age ME,Population,White,Black,Native American,Asian,Native Hawaiian,Other,Multiple,Foreign Born,Foreign Born ME,Child Poverty Ratio,Poor,Median Household Income,Name,County,State,county_fips
0,2673,58.2,4.0,76,55.0,0.0,3.0,0.0,0.0,0.0,6.0,9.0,10.0,3.0,12.0,56875.0,"Loving County, Texas",301,48,30148
1,548,56.5,8.6,91,29.0,0.0,0.0,21.0,28.0,0.0,10.0,11.0,9.0,0.0,11.0,65625.0,"Kalawao County, Hawaii",5,15,00515
2,2657,39.8,10.5,274,210.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,36.0,50.0,9.0,57083.0,"King County, Texas",269,48,26948
3,1712,48.0,5.2,425,413.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,9.0,93.0,78.0,53750.0,"McPherson County, Nebraska",117,31,11731
4,1656,41.0,6.0,437,426.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,3.0,137.0,35.0,40375.0,"Arthur County, Nebraska",5,31,00531
5,1632,50.4,6.4,445,445.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,69.0,38250.0,"Petroleum County, Montana",69,30,06930
6,1711,51.0,3.0,542,531.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,9.0,97.0,54.0,56750.0,"Loup County, Nebraska",115,31,11531
7,300,49.0,6.1,552,419.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,56.0,21.0,41250.0,"San Juan County, Colorado",111,8,11108
8,2653,31.7,19.1,558,160.0,0.0,0.0,1.0,0.0,0.0,0.0,140.0,129.0,154.0,127.0,24000.0,"Kenedy County, Texas",261,48,26148
9,1806,58.0,1.6,565,326.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,87.0,81.0,32404.0,"Harding County, New Mexico",21,35,02135
10,1658,43.6,5.9,580,572.0,0.0,0.0,3.0,5.0,0.0,0.0,8.0,10.0,144.0,94.0,50350.0,"Blaine County, Nebraska",9,31,00931
11,94,40.5,7.3,646,279.0,7.0,201.0,38.0,7.0,0.0,96.0,41.0,36.0,133.0,51.0,66875.0,"Yakutat City and Borough, Alaska",282,2,28202
12,1691,50.9,2.1,647,627.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,122.0,103.0,45625.0,"Grant County, Nebraska",75,31,07531
13,2033,52.1,6.8,665,620.0,32.0,0.0,0.0,0.0,0.0,11.0,0.0,9.0,141.0,67.0,58750.0,"Slope County, North Dakota",87,38,08738
14,2654,48.6,6.5,667,545.0,3.0,3.0,0.0,0.0,0.0,0.0,11.0,11.0,126.0,72.0,50625.0,"Kent County, Texas",263,48,26348
15,1699,59.5,3.4,669,631.0,6.0,3.0,0.0,0.0,0.0,0.0,6.0,6.0,92.0,104.0,38616.0,"Hooker County, Nebraska",91,31,09131
16,2678,39.6,12.9,671,342.0,0.0,6.0,0.0,0.0,0.0,0.0,45.0,54.0,155.0,59.0,57589.0,"McMullen County, Texas",311,48,31148
17,1739,41.9,4.1,675,648.0,0.0,1.0,14.0,0.0,0.0,8.0,22.0,16.0,150.0,65.0,54286.0,"Thomas County, Nebraska",171,31,17131
18,2539,33.0,8.8,698,653.0,0.0,11.0,0.0,0.0,0.0,1.0,12.0,14.0,205.0,18.0,77569.0,"Borden County, Texas",33,48,03348
19,1616,54.6,3.5,730,659.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,6.0,132.0,119.0,44000.0,"Golden Valley County, Montana",37,30,03730
20,1705,52.5,4.8,736,719.0,1.0,0.0,3.0,0.0,0.0,5.0,8.0,7.0,144.0,77.0,43333.0,"Keya Paha County, Nebraska",103,31,10331
21,2781,48.7,9.2,751,720.0,0.0,6.0,0.0,0.0,0.0,7.0,20.0,18.0,140.0,30.0,75938.0,"Daggett County, Utah",9,49,00949
22,2398,53.1,4.2,767,730.0,16.0,17.0,0.0,0.0,0.0,0.0,2.0,3.0,117.0,79.0,39276.0,"Jones County, South Dakota",75,46,07546
