,CL_UNIT,Code,DataValue,geo_id,GeoName,NoteRef,TimePeriod,UNIT_MULT
0,thousands of dollars,CA1-1,15912777000.0,00000,United States,,2016,3
1,thousands of dollars,CA1-1,15912777000.0,00000,United States,,2016,3
2,thousands of dollars,CA1-1,189161974.0,01000,Alabama,,2016,3
3,thousands of dollars,CA1-1,189161974.0,01000,Alabama,,2016,3
4,thousands of dollars,CA1-1,2201206.0,01001,"Autauga, AL",,2016,3
5,thousands of dollars,CA1-1,2201206.0,01001,"Autauga, AL",,2016,3
6,thousands of dollars,CA1-1,8610692.0,01003,"Baldwin, AL",,2016,3
7,thousands of dollars,CA1-1,8610692.0,01003,"Baldwin, AL",,2016,3
8,thousands of dollars,CA1-1,825374.0,01005,"Barbour, AL",,2016,3
9,thousands of dollars,CA1-1,825374.0,01005,"Barbour, AL",,2016,3
10,thousands of dollars,CA1-1,662619.0,01007,"Bibb, AL",,2016,3
11,thousands of dollars,CA1-1,662619.0,01007,"Bibb, AL",,2016,3
12,thousands of dollars,CA1-1,1815973.0,01009,"Blount, AL",,2016,3
13,thousands of dollars,CA1-1,1815973.0,01009,"Blount, AL",,2016,3
14,thousands of dollars,CA1-1,276257.0,01011,"Bullock, AL",,2016,3
15,thousands of dollars,CA1-1,276257.0,01011,"Bullock, AL",,2016,3
16,thousands of dollars,CA1-1,673803.0,01013,"Butler, AL",,2016,3
17,thousands of dollars,CA1-1,673803.0,01013,"Butler, AL",,2016,3
18,thousands of dollars,CA1-1,3942713.0,01015,"Calhoun, AL",,2016,3
19,thousands of dollars,CA1-1,3942713.0,01015,"Calhoun, AL",,2016,3
20,thousands of dollars,CA1-1,1080439.0,01017,"Chambers, AL",,2016,3
21,thousands of dollars,CA1-1,1080439.0,01017,"Chambers, AL",,2016,3
22,thousands of dollars,CA1-1,850398.0,01019,"Cherokee, AL",,2016,3
23,thousands of dollars,CA1-1,850398.0,01019,"Cherokee, AL",,2016,3
24,thousands of dollars,CA1-1,1407904.0,01021,"Chilton, AL",,2016,3
25,thousands of dollars,CA1-1,1407904.0,01021,"Chilton, AL",,2016,3
26,thousands of dollars,CA1-1,414810.0,01023,"Choctaw, AL",,2016,3
27,thousands of dollars,CA1-1,414810.0,01023,"Choctaw, AL",,2016,3
28,thousands of dollars,CA1-1,807275.0,01025,"Clarke, AL",,2016,3
29,thousands of dollars,CA1-1,807275.0,01025,"Clarke, AL",,2016,3
30,thousands of dollars,CA1-1,451335.0,01027,"Clay, AL",,2016,3
31,thousands of dollars,CA1-1,451335.0,01027,"Clay, AL",,2016,3
32,thousands of dollars,CA1-1,476336.0,01029,"Cleburne, AL",,2016,3
33,thousands of dollars,CA1-1,476336.0,01029,"Cleburne, AL",,2016,3
34,thousands of dollars,CA1-1,2045097.0,01031,"Coffee, AL",,2016,3
35,thousands of dollars,CA1-1,2045097.0,01031,"Coffee, AL",,2016,3
36,thousands of dollars,CA1-1,1974679.0,01033,"Colbert, AL",,2016,3
37,thousands of dollars,CA1-1,1974679.0,01033,"Colbert, AL",,2016,3
38,thousands of dollars,CA1-1,376182.0,01035,"Conecuh, AL",,2016,3
39,thousands of dollars,CA1-1,376182.0,01035,"Conecuh, AL",,2016,3
40,thousands of dollars,CA1-1,309773.0,01037,"Coosa, AL",,2016,3
41,thousands of dollars,CA1-1,309773.0,01037,"Coosa, AL",,2016,3
42,thousands of dollars,CA1-1,1211378.0,01039,"Covington, AL",,2016,3
43,thousands of dollars,CA1-1,1211378.0,01039,"Covington, AL",,2016,3
44,thousands of dollars,CA1-1,468647.0,01041,"Crenshaw, AL",,2016,3
45,thousands of dollars,CA1-1,468647.0,01041,"Crenshaw, AL",,2016,3
46,thousands of dollars,CA1-1,2994954.0,01043,"Cullman, AL",,2016,3
47,thousands of dollars,CA1-1,2994954.0,01043,"Cullman, AL",,2016,3
48,thousands of dollars,CA1-1,1706837.0,01045,"Dale, AL",,2016,3
49,thousands of dollars,CA1-1,1706837.0,01045,"Dale, AL",,2016,3
50,thousands of dollars,CA1-1,1343382.0,01047,"Dallas, AL",,2016,3
51,thousands of dollars,CA1-1,1343382.0,01047,"Dallas, AL",,2016,3
52,thousands of dollars,CA1-1,2099352.0,01049,"DeKalb, AL",,2016,3
53,thousands of dollars,CA1-1,2099352.0,01049,"DeKalb, AL",,2016,3
54,thousands of dollars,CA1-1,3208675.0,01051,"Elmore, AL",,2016,3
55,thousands of dollars,CA1-1,3208675.0,01051,"Elmore, AL",,2016,3
56,thousands of dollars,CA1-1,1176126.0,01053,"Escambia, AL",,2016,3
57,thousands of dollars,CA1-1,1176126.0,01053,"Escambia, AL",,2016,3
58,thousands of dollars,CA1-1,3582781.0,01055,"Etowah, AL",,2016,3
59,thousands of dollars,CA1-1,3582781.0,01055,"Etowah, AL",,2016,3
60,thousands of dollars,CA1-1,517825.0,01057,"Fayette, AL",,2016,3
61,thousands of dollars,CA1-1,517825.0,01057,"Fayette, AL",,2016,3
62,thousands of dollars,CA1-1,1018528.0,01059,"Franklin, AL",,2016,3
63,thousands of dollars,CA1-1,1018528.0,01059,"Franklin, AL",,2016,3
64,thousands of dollars,CA1-1,862778.0,01061,"Geneva, AL",,2016,3
65,thousands of dollars,CA1-1,862778.0,01061,"Geneva, AL",,2016,3
66,thousands of dollars,CA1-1,271569.0,01063,"Greene, AL",,2016,3
67,thousands of dollars,CA1-1,271569.0,01063,"Greene, AL",,2016,3
68,thousands of dollars,CA1-1,529121.0,01065,"Hale, AL",,2016,3
69,thousands of dollars,CA1-1,529121.0,01065,"Hale, AL",,2016,3
70,thousands of dollars,CA1-1,634240.0,01067,"Henry, AL",,2016,3
71,thousands of dollars,CA1-1,634240.0,01067,"Henry, AL",,2016,3
72,thousands of dollars,CA1-1,4091547.0,01069,"Houston, AL",,2016,3
73,thousands of dollars,CA1-1,4091547.0,01069,"Houston, AL",,2016,3
74,thousands of dollars,CA1-1,1780564.0,01071,"Jackson, AL",,2016,3
75,thousands of dollars,CA1-1,1780564.0,01071,"Jackson, AL",,2016,3
76,thousands of dollars,CA1-1,32571200.0,01073,"Jefferson, AL",,2016,3
77,thousands of dollars,CA1-1,32571200.0,01073,"Jefferson, AL",,2016,3
78,thousands of dollars,CA1-1,430816.0,01075,"Lamar, AL",,2016,3
79,thousands of dollars,CA1-1,430816.0,01075,"Lamar, AL",,2016,3
80,thousands of dollars,CA1-1,3275936.0,01077,"Lauderdale, AL",,2016,3
81,thousands of dollars,CA1-1,3275936.0,01077,"Lauderdale, AL",,2016,3
82,thousands of dollars,CA1-1,1038715.0,01079,"Lawrence, AL",,2016,3
83,thousands of dollars,CA1-1,1038715.0,01079,"Lawrence, AL",,2016,3
84,thousands of dollars,CA1-1,5464860.0,01081,"Lee, AL",,2016,3
85,thousands of dollars,CA1-1,5464860.0,01081,"Lee, AL",,2016,3
86,thousands of dollars,CA1-1,3516520.0,01083,"Limestone, AL",,2016,3
87,thousands of dollars,CA1-1,3516520.0,01083,"Limestone, AL",,2016,3
88,thousands of dollars,CA1-1,383757.0,01085,"Lowndes, AL",,2016,3
89,thousands of dollars,CA1-1,383757.0,01085,"Lowndes, AL",,2016,3
90,thousands of dollars,CA1-1,598832.0,01087,"Macon, AL",,2016,3
91,thousands of dollars,CA1-1,598832.0,01087,"Macon, AL",,2016,3
92,thousands of dollars,CA1-1,16811249.0,01089,"Madison, AL",,2016,3
93,thousands of dollars,CA1-1,16811249.0,01089,"Madison, AL",,2016,3
94,thousands of dollars,CA1-1,719065.0,01091,"Marengo, AL",,2016,3
95,thousands of dollars,CA1-1,719065.0,01091,"Marengo, AL",,2016,3
96,thousands of dollars,CA1-1,878134.0,01093,"Marion, AL",,2016,3
97,thousands of dollars,CA1-1,878134.0,01093,"Marion, AL",,2016,3
98,thousands of dollars,CA1-1,3201096.0,01095,"Marshall, AL",,2016,3
99,thousands of dollars,CA1-1,3201096.0,01095,"Marshall, AL",,2016,3
100,thousands of dollars,CA1-1,14913762.0,01097,"Mobile, AL",,2016,3
101,thousands of dollars,CA1-1,14913762.0,01097,"Mobile, AL",,2016,3
102,thousands of dollars,CA1-1,693683.0,01099,"Monroe, AL",,2016,3
103,thousands of dollars,CA1-1,693683.0,01099,"Monroe, AL",,2016,3
104,thousands of dollars,CA1-1,9371752.0,01101,"Montgomery, AL",,2016,3
105,thousands of dollars,CA1-1,9371752.0,01101,"Montgomery, AL",,2016,3
106,thousands of dollars,CA1-1,4373175.0,01103,"Morgan, AL",,2016,3
107,thousands of dollars,CA1-1,4373175.0,01103,"Morgan, AL",,2016,3
