County Name,State,Metro Code,OMB County Status,Total Population (civilian non-institutionalized),Total Population (Margin of Error),Disability Population (civilian non-institutionalized),Disability Population (Margin of Error),Percent with a Disability,Gender- Male Disability Rate- Percentage of males reporting a disability,Gender- Female Disability Rate- Percentage of females reporting a disability,Vision- Percentage of individuals reporting a vision difficulty,Hearing- Percentage of individuals reporting a hearing disability,Cognitive- Percentage of individuals reporting a cognitive disability,Mobility- Percentage of individuals reporting a mobility disability,Self Care- Percentage of individuals reporting a self care disability,Independent Living- Percent of individuals reporting a independent living disability,Disability Employment Rate- Percentage of individuals with a reported disability employed in the labor force,Disability Unemployment Rates- Percentage of individuals with a reported disability unemployed in the labor force,Out of the Labor Force Disability Rate- Percentage of individuals with a reported disability not in the labor force,Veteran Disability Rate- Percentage of veterans reporting a disability,Disability Poverty Rate- Percentage of individuals reporting a disability in poverty
Monroe,Alabama,3,Non core,22002,73,3112,316,14.1,11.9,16.2,2.9,3.4,5.1,9.4,2.9,8.2,18.7,3.2,78.1,24.6,30.6
Montgomery,Alabama,1,Metropolitan,222787,806,36125,1370,16.2,15.3,17,3,3.5,7.2,9.8,3.6,7.4,30.9,5.1,63.9,26.7,26.8
Morgan,Alabama,1,Metropolitan,118084,378,19679,854,16.7,16.6,16.7,3.1,4.9,7,9.9,3.4,7.8,28.2,7.5,64.3,32.7,21.8
Perry,Alabama,3,Non core,9888,84,2499,303,25.3,26.7,24,5,3.1,10.5,16.9,6.2,15.8,16.8,4.2,79,56,39.5
Pickens,Alabama,1,Metropolitan,19254,214,4680,328,24.3,24.3,24.3,3.7,6.9,9.8,15.8,3.8,10.2,21.1,8.7,70.2,43.6,33.7
Pike,Alabama,2,Micropolitan,32947,79,5244,452,15.9,15.2,16.6,2.6,3.2,7.5,9.6,4.1,6,25.7,8,66.3,26.7,29.5
Randolph,Alabama,3,Non core,22412,126,3742,341,16.7,16.2,17.2,3.5,4.2,6.7,11.8,4,8.1,21.6,2.7,75.7,31.3,22.2
Russell,Alabama,1,Metropolitan,56373,346,10179,623,18.1,18.6,17.6,3.7,4.9,8.1,11.4,4,8.8,27,6.6,66.4,32.7,27.4
St. Clair,Alabama,1,Metropolitan,84001,257,14721,866,17.5,16.7,18.4,2.9,5,6.1,10.8,2.8,7.5,28.6,3.6,67.8,33.1,22.1
Shelby,Alabama,1,Metropolitan,201820,572,22274,994,11,10.9,11.1,1.9,3.2,4.2,6.1,2.2,4.9,40.6,5.5,53.9,26.6,13.8
Sumter,Alabama,3,Non core,13204,60,2725,320,20.6,19.8,21.3,4.7,3.8,10.3,13.4,3.9,14.3,16.6,5.9,77.6,26.9,44.5
Talladega,Alabama,2,Micropolitan,78682,468,15046,818,19.1,17.6,20.5,3.6,4.6,6.9,12.2,3.5,8.4,25.3,4.4,70.3,34.8,25.6
Tallapoosa,Alabama,2,Micropolitan,40616,141,7127,545,17.5,17.6,17.5,2.8,4.4,6.3,10.9,4,8.3,19.8,6,74.2,33.2,24.2
Tuscaloosa,Alabama,1,Metropolitan,199008,270,23353,1124,11.7,11.7,11.7,2.2,2.7,5.2,7,2.8,5.8,27.2,5.4,67.4,30.4,20.2
Walker,Alabama,1,Metropolitan,65219,172,16324,765,25,25.6,24.5,4.8,6.9,10.4,16.2,5.6,12.2,26.4,6.2,67.4,46.4,29.6
Washington,Alabama,3,Non core,16869,88,4095,377,24.3,25.8,22.7,5.7,7.3,7.6,16.5,6.8,12.8,28.6,5.9,65.5,46.5,23.5
Wilcox,Alabama,3,Non core,10976,87,1947,263,17.7,16.7,18.7,2.2,3.1,9.1,11.3,6.7,12.4,9.5,1.7,88.9,33.7,36.6
Winston,Alabama,3,Non core,23829,92,6144,474,25.8,24.8,26.7,5,7,10.6,16.5,5.5,10.6,22.6,8.7,68.8,44.6,25.4
Aleutians East,Alaska,3,Non core,3299,11,257,52,7.8,8,7.4,1.5,3.9,1.5,3,0.8,1.3,75,2.4,22.6,14.7,10.1
Aleutians West,Alaska,3,Non core,5510,70,356,56,6.5,6.8,6,2.3,2.9,1.2,2.6,0.5,1.7,60,5.3,34.7,19.3,9.8
Anchorage,Alaska,1,Metropolitan,287811,627,29178,1253,10.1,10.7,9.5,1.7,3.4,4.4,5.1,2.4,4.5,43.4,8.9,47.7,21.8,12.9
Bethel,Alaska,3,Non core,17505,130,1711,107,9.8,10.6,8.8,3.1,5.7,2.4,3.6,0.8,1.9,46.8,13.7,39.5,33.3,23.1
Bristol Bay,Alaska,3,Non core,959,92,116,28,12.1,10.7,13.9,3,5.3,2.4,5.9,0.9,2.9,46.5,11.3,42.3,18,13.8
Denali,Alaska,3,Non core,1999,138,180,47,9,11.1,6.6,1.7,4.5,3.1,5,1,2.5,33.6,5.5,60.9,29.7,13.3
Dillingham,Alaska,3,Non core,4961,13,600,60,12.1,13.9,10.2,2.5,7.4,3.4,5.8,1.6,2.9,43.8,6.9,49.3,27.6,20.3
Fairbanks North Star,Alaska,1,Metropolitan,93094,589,10048,908,10.8,11.5,10,1.9,3.7,4,6,1.9,3.8,44.2,6.9,48.9,20.1,15
Haines,Alaska,3,Non core,2554,6,326,107,12.8,17.6,7.1,3,4.4,1.3,8.2,1.1,1.9,49.5,1.4,49,36.1,13.5
Hoonah-Angoon,Alaska,3,Non core,2125,7,350,58,16.5,18.1,14.6,3.9,6.4,5,8.4,1.4,2.8,44.1,6.2,49.7,26.6,10.3
Juneau,Alaska,2,Micropolitan,31967,145,3094,307,9.7,10,9.3,1.7,3.3,3.4,5,1.8,3.7,48.1,5.9,46,22.6,12.7
Kenai Peninsula,Alaska,3,Non core,55927,280,7856,560,14,14.1,14,2.6,5.8,4.8,7.5,3.4,6,34.3,6.3,59.4,28.3,15.1
Ketchikan Gateway,Alaska,2,Micropolitan,13376,73,1821,179,13.6,13.8,13.4,3.1,5.7,5.3,6.7,2.3,6,47.4,4.5,48.1,27.7,14.5
Kodiak Island,Alaska,3,Non core,13283,161,1614,264,12.2,13.1,11.1,2.5,4.7,5.2,3.8,1.2,3.9,57.1,5.3,37.7,20.3,18.6
Kusilvak ,Alaska,3,Non core,7901,11,806,61,10.2,10.3,10,3,5.8,2.9,4.3,0.7,2.4,32.8,15.5,51.7,25.2,24.8
Lake and Peninsula,Alaska,3,Non core,1474,143,192,39,13,15.3,10.8,4,6.8,4,5.4,1.4,2.7,59.1,6.4,34.5,40.7,15.1
Matanuska-Susitna,Alaska,1,Metropolitan,94431,223,10836,538,11.5,12.1,10.9,1.7,3.5,4.7,6.6,2.3,5.1,34.1,7.4,58.5,22.7,14.2
Nome,Alaska,3,Non core,9655,79,1077,80,11.2,12.3,9.8,2.5,5.3,3,5.5,1.7,3.9,32,15.7,52.3,29.6,24.7
North Slope,Alaska,3,Non core,9584,87,880,122,9.2,8.5,10.4,1.9,4.2,2.1,4.4,0.7,2.5,58.6,9.7,31.8,13.7,8.6
Northwest Arctic,Alaska,3,Non core,7708,19,826,68,10.7,11.1,10.2,2.9,5.3,3.1,5.9,1.6,4.5,45.2,12.7,42.1,30.3,18.7
Petersburg,Alaska,3,Non core,3204,8,432,64,13.5,14.4,12.5,3.2,6.6,4.2,7.3,2,4,54,5,41,33.2,16.7
Price of Wales Hyder,Alaska,3,Non core,6369,9,972,59,15.3,15.9,14.5,2.7,7.6,4.8,7.9,2.7,4.4,45.7,10.7,43.6,34.4,11.7
Sitka,Alaska,3,Non core,8759,61,934,174,10.7,10.7,10.7,1.5,3.7,3.8,5.6,1.6,5,55.8,4.8,39.3,19.5,11.9
Skagway Municipality,Alaska,3,Non core,999,112,65,15,6.5,7.8,5.1,1.5,2.8,1.6,3,1.1,1.9,58.1,9.7,32.3,17.5,6.2
Southeast Fairbanks,Alaska,3,Non core,6862,51,948,127,13.8,15.8,11.4,1.9,5.2,4.2,7.4,2.7,4,43.6,11.3,45.1,32.6,15.3
Valdez-Cordova,Alaska,3,Non core,9412,101,952,169,10.1,11.2,8.9,1.5,4.9,2.9,5.2,1.9,4.4,30.6,21.9,47.6,33.9,9.2
Wrangell,Alaska,3,Non core,2368,24,531,76,22.4,22,22.8,2.6,8.9,6.9,12.2,5,6.7,31.7,5,63.3,47.3,6.4
Yakutat,Alaska,3,Non core,643,91,52,16,8.1,8.2,8,2.8,3.7,1.8,4.2,0.8,2,30.4,8.7,60.9,18.6,3.8
Yukon-Koyukuk,Alaska,3,Non core,5619,17,930,57,16.6,18.7,14,5,9.1,4.3,7.3,2.1,5.3,43.1,12.7,44.3,33.6,23
Apache,Arizona,3,Non core,71338,209,10872,562,15.2,15.6,14.9,4.5,6.1,7,8.4,3.2,8.4,21.5,7.6,70.9,36.7,35.9
Cochise,Arizona,1,Metropolitan,116692,1461,19739,1066,16.9,18.8,15.2,2.8,6.1,5.7,10,3.3,7.3,32.5,7.7,59.8,28.5,21.2
Coconino,Arizona,1,Metropolitan,135969,170,15085,797,11.1,11.9,10.3,2.7,3.6,4.3,5.5,1.7,4.1,37.4,9.6,53,27.7,26.8
Gila,Arizona,2,Micropolitan,52434,149,11133,804,21.2,23,19.5,4.4,7.9,8,12.6,4.2,8.5,28,7.8,64.2,37.3,24.1
Graham,Arizona,2,Micropolitan,33419,512,4507,330,13.5,13.6,13.3,3.2,5.2,4.7,7.5,2.8,6.5,39.4,6.6,54,33.2,20.8
Greenlee,Arizona,3,Non core,8983,16,1229,159,13.7,14.4,12.9,2.6,4.9,4,8,1.9,4.2,26.2,1,72.8,30.1,12
La Paz,Arizona,3,Non core,20108,98,3846,598,19.1,18.9,19.4,2.1,3.1,6.1,13.1,1.6,5.8,22.3,4.6,73.1,33.1,23.3
Maricopa,Arizona,1,Metropolitan,3988822,1084,417695,4581,10.5,10.3,10.6,2,3.2,4.1,5.9,2.2,4.8,36,7,57,25.5,20.2
Mohave,Arizona,1,Metropolitan,196922,1103,40126,1460,20.4,22,18.8,3.1,6.3,6.7,12.8,4.5,8.8,21.7,8.6,69.7,36.4,23.3
Navajo,Arizona,2,Micropolitan,105475,233,18698,807,17.7,18,17.4,3.9,6,7.6,9.9,3.3,8.6,29.5,8.6,61.8,37,30.4
Pima,Arizona,1,Metropolitan,980005,1134,140826,2661,14.4,14.4,14.4,2.6,4.5,5.8,7.8,3,6.6,34,8.5,57.5,28.4,22.8
Pinal,Arizona,1,Metropolitan,367032,1645,50109,1786,13.7,14,13.3,2.5,4.3,5.4,7.7,2.9,6.5,27.3,6.1,66.6,27.6,18.6
Santa Cruz,Arizona,2,Micropolitan,46827,104,4792,472,10.2,10.1,10.3,1.8,3.3,3.3,5.8,2.5,4.8,33.5,6.7,59.8,22.8,25.8
Yavapai,Arizona,1,Metropolitan,214510,235,38999,1706,18.2,19.3,17.1,3.2,6.3,6.4,10.1,3.2,7.3,31.1,6.6,62.3,34.8,18.4
Yuma,Arizona,1,Metropolitan,194973,1277,22554,975,11.6,11.9,11.3,2.2,3.6,3.7,7.1,1.9,4.5,30.3,6,63.7,28.9,22.8
Arkansas,Arkansas,3,Non core,18492,53,4018,373,21.7,22.8,20.8,4.7,5.4,8,13.1,4,8.6,31.8,5.7,62.5,50.9,25
Ashley,Arkansas,3,Non core,21054,69,4718,435,22.4,22.3,22.5,5.2,6.9,9.2,12.4,3.6,8.5,22.8,7.8,69.4,34.8,33.2
Baxter,Arkansas,2,Micropolitan,40572,110,8933,676,22,23.4,20.7,4.1,7.3,7,13.2,3.7,9.6,25,1.6,73.4,41.8,20.6
Benton,Arkansas,1,Metropolitan,236524,364,21905,1051,9.3,9.3,9.2,1.5,2.7,3.3,5.5,1.9,4.3,38.7,5,56.3,23.9,13.9
Boone,Arkansas,2,Micropolitan,36802,159,7321,542,19.9,20.2,19.6,4.2,6.4,7.5,12.7,3.5,9,26.6,3.1,70.3,45.2,22.2
Bradley,Arkansas,3,Non core,11113,104,2506,274,22.6,21.4,23.7,6.5,6.4,8.1,15,5,14,23.6,11.3,65.1,46,30.9
Calhoun,Arkansas,2,Micropolitan,5186,24,1533,171,29.6,31,28.1,5,12.3,9.7,20.6,5.8,11.7,29.6,7.9,62.5,55.4,26.4
Carroll,Arkansas,3,Non core,27422,91,4781,485,17.4,18.6,16.3,2.2,5.8,5.2,11.5,2.7,7,25,3.6,71.3,38.6,20.3
Chicot,Arkansas,3,Non core,10686,180,2634,247,24.6,23.9,25.3,6.3,7.1,9.9,14.4,4.6,13.5,29.2,4.8,65.9,32.7,36.6
Clark,Arkansas,2,Micropolitan,22411,118,4033,356,18,18.2,17.9,3,5.5,7.3,10.1,3.4,6.3,36.6,4.3,59.1,32.7,28.6
Clay,Arkansas,3,Non core,15266,87,3475,270,22.8,22.6,22.9,5.3,7.7,8.2,13.8,4.5,9.2,31,4.4,64.5,41.3,29.1
Cleburne,Arkansas,3,Non core,25351,136,4679,406,18.5,19.4,17.5,3.3,6.1,6.2,11.7,3.7,8.2,23.4,7.3,69.3,36.2,17.4
Cleveland,Arkansas,1,Metropolitan,8432,104,1892,199,22.4,22.4,22.5,5.1,8.6,8.2,13.1,4.3,8.6,38.9,0.6,60.5,45.2,23
Columbia,Arkansas,2,Micropolitan,23904,171,4486,456,18.8,18.2,19.3,4.4,4.4,7.2,12.5,5,7.4,37.6,5.9,56.5,33.7,24.7
Conway,Arkansas,3,Non core,20933,60,4163,351,19.9,19.7,20.1,3.6,5.4,8.6,13.1,5.2,10.5,27.4,1.4,71.2,33.2,27.7
Craighead,Arkansas,1,Metropolitan,100428,207,15866,947,15.8,15,16.6,3.2,4,7.2,8.8,3.3,7.1,32.4,3.5,64.1,32.1,23
Crawford,Arkansas,1,Metropolitan,61194,194,11106,708,18.1,19.2,17.1,3.1,5,6.4,11.2,3.4,7.4,27.2,3.7,69.1,35,27.7
Crittenden,Arkansas,1,Metropolitan,49204,121,8258,617,16.8,17.5,16.2,3.7,4.3,6.2,10,3.2,7.1,37.7,5.4,56.9,35.5,29.4
Cross,Arkansas,3,Non core,17256,133,3682,404,21.3,21.1,21.6,4.5,6,7.3,14.4,5.2,9.3,25,4.5,70.5,43.4,27.2
Dallas,Arkansas,3,Non core,7340,251,1808,198,24.6,25.9,23.4,5.4,7.2,9.2,16.2,4.9,8.3,32.5,3.5,64,58.6,13.3
Desha,Arkansas,3,Non core,12306,27,2550,265,20.7,23.1,18.6,5.3,6.1,7.2,11.6,4.3,9,33.2,5.6,61.2,42.1,34
Drew,Arkansas,3,Non core,18348,124,3809,363,20.8,20.1,21.4,6,5.9,9.2,11.9,4.2,8.4,33.5,8.1,58.4,39.2,24.9
Faulkner,Arkansas,1,Metropolitan,118057,245,14425,792,12.2,12.6,11.8,2,3.7,5.3,6.9,2.5,5.5,31,7.7,61.3,27.1,22.8
Franklin,Arkansas,3,Non core,17580,156,3240,383,18.4,18.6,18.3,3.2,5.6,6,12.7,4.2,10.1,26.8,9.9,63.3,42.9,25.1
Fulton,Arkansas,3,Non core,12040,67,2967,381,24.6,26.1,23.2,3.7,8,9.3,14.4,4.4,7.9,19.5,6.9,73.6,43.8,30.2
Garland,Arkansas,1,Metropolitan,95661,245,18539,1119,19.4,20.2,18.6,3.1,6.4,7.1,11.1,4.2,7.7,31.4,6.7,62,36.8,25.6
Grant,Arkansas,1,Metropolitan,17897,87,3176,322,17.7,18.3,17.2,3.2,6.2,5.8,9.8,3.6,7.2,28.9,3,68,30.1,14
Greene,Arkansas,2,Micropolitan,42896,173,8652,592,20.2,20.4,20,4.3,5.8,8.9,11.9,4.3,9.8,22.1,4.1,73.7,36.5,26
Hempstead,Arkansas,2,Micropolitan,22092,98,4553,469,20.6,21.3,20,3.6,4.4,9.1,12.4,4.2,9.6,23.1,5.5,71.4,41.1,29.6
Hot Spring,Arkansas,2,Micropolitan,31416,225,7657,513,24.4,22.8,25.9,4.9,7.5,9.6,15.1,5.6,9.5,36.2,2.1,61.7,44.7,25.3
Howard,Arkansas,3,Non core,13377,86,2365,218,17.7,16.2,19.1,3.9,3.8,6.4,10.5,2.5,8.7,29.5,3.7,66.8,34,20.2
Independence,Arkansas,2,Micropolitan,36451,102,7031,474,19.3,19,19.6,3,5.9,6.5,12.6,3.4,8.8,21.5,4.1,74.4,41,27.3
Izard,Arkansas,3,Non core,12687,215,2941,360,23.2,25.7,20.7,4.1,8.7,8.2,13.2,3.4,9.6,21.2,8.9,69.9,38.2,25.3
Jackson,Arkansas,3,Non core,14285,372,3119,264,21.8,21.1,22.7,4.2,7.1,6.6,14.6,5.2,9.5,24.4,5.5,70.2,41,25.7
Jefferson,Arkansas,1,Metropolitan,69255,365,12799,612,18.5,18.6,18.4,4.6,5,7.1,11.4,4,8.4,29.6,5.8,64.7,38.1,28.8
Johnson,Arkansas,3,Non core,25728,118,4317,327,16.8,17.3,16.3,3.2,4.6,7.2,10.6,3.7,9.3,29.6,3.6,66.8,38,25.1
Lafayette,Arkansas,3,Non core,7138,74,1651,141,23.1,23,23.3,3.5,5.4,8.4,16.7,4.4,10.6,18.8,8.5,72.6,37.6,25.4
Lawrence,Arkansas,3,Non core,16715,86,3277,277,19.6,19.8,19.4,3.1,5.3,7.8,13.5,3.5,8.4,19.8,4,76.2,37.9,34
Lee,Arkansas,3,Non core,8457,167,2164,282,25.6,26.3,25,4.1,4.9,12.2,16.1,6.6,15,21.4,8.7,69.9,45.7,35.1
Lincoln,Arkansas,1,Metropolitan,9818,374,2092,242,21.3,20.9,21.7,4.4,6.7,8.7,11.8,5.2,10.3,31.4,5.6,63.1,45.4,26.6
Little River,Arkansas,1,Metropolitan,12559,87,2519,256,20.1,21,19.1,4.4,6.2,8.1,12.4,4.6,9,14.4,2.9,82.7,29.5,26.6
Logan,Arkansas,3,Non core,21753,143,4439,350,20.4,22.4,18.4,4.3,6.2,7.3,13,4,9.9,26.7,4.2,69.1,40.9,24
Lonoke,Arkansas,1,Metropolitan,69105,308,10373,693,15,15.8,14.2,2.7,4.4,6.6,8.2,2.9,6.2,42.1,2,55.9,26.7,19.6
Madison,Arkansas,1,Metropolitan,15631,68,2870,236,18.4,18.6,18.2,3.6,6.1,5.5,10.5,2.7,7.2,21.7,6,72.4,48.8,25.8
Marion,Arkansas,3,Non core,16304,90,4041,369,24.8,25.4,24.1,5.3,9.9,7,15.8,4.6,10.8,22.3,5.3,72.4,35,24.7
Miller,Arkansas,1,Metropolitan,42456,255,7609,510,17.9,18.6,17.3,3.8,5,7.4,10.3,3.6,7.3,31,10.9,58.1,33.5,26.5
Mississippi,Arkansas,2,Micropolitan,44030,205,9369,622,21.3,22.3,20.4,4.4,5.2,8.8,13.6,5.2,10.2,28.3,7.3,64.3,37.5,29.8
Monroe,Arkansas,3,Non core,7636,68,1875,198,24.6,25.8,23.5,5.5,6.7,12,14,4.8,13.3,24.1,8,67.9,30.9,36.1
Montgomery,Arkansas,3,Non core,9056,122,2832,279,31.3,32.8,29.8,8.2,10.8,12.2,16.9,4.3,11.4,43,5.3,51.6,55.3,26
Nevada,Arkansas,2,Micropolitan,8594,88,1939,209,22.6,24.1,21,4,6.4,9.1,14.1,2.8,7,35.1,3.7,61.2,55,33.5
