County Name,State,Metro Code,OMB County Status,Total Population (civilian non-institutionalized),Total Population (Margin of Error),Disability Population (civilian non-institutionalized),Disability Population (Margin of Error),Percent with a Disability,Gender- Male Disability Rate- Percentage of males reporting a disability,Gender- Female Disability Rate- Percentage of females reporting a disability,Vision- Percentage of individuals reporting a vision difficulty,Hearing- Percentage of individuals reporting a hearing disability,Cognitive- Percentage of individuals reporting a cognitive disability,Mobility- Percentage of individuals reporting a mobility disability,Self Care- Percentage of individuals reporting a self care disability,Independent Living- Percent of individuals reporting a independent living disability,Disability Employment Rate- Percentage of individuals with a reported disability employed in the labor force,Disability Unemployment Rates- Percentage of individuals with a reported disability unemployed in the labor force,Out of the Labor Force Disability Rate- Percentage of individuals with a reported disability not in the labor force,Veteran Disability Rate- Percentage of veterans reporting a disability,Disability Poverty Rate- Percentage of individuals reporting a disability in poverty
Autauga,Alabama,1,Metropolitan,54425,239,9400,690,17.3,17.5,17.1,3.7,5.2,7.7,9.5,3.3,8.1,35.1,7.9,57,28,25.2
Baldwin,Alabama,1,Metropolitan,192770,369,26550,1256,13.8,14,13.6,2.1,4.5,4.7,8.3,2.9,6.3,29.7,7.3,63,30.1,17.6
Barbour,Alabama,2,Micropolitan,24060,310,5526,331,23,21.9,24,5.8,5.6,10.4,13.8,4.7,10.4,22.4,10.1,67.5,45,29.6
Bibb,Alabama,1,Metropolitan,20770,216,3008,334,14.5,13.9,15.1,1.9,3.4,5,9.3,3.9,7.1,30.6,4.1,65.3,37.7,18.9
Blount,Alabama,1,Metropolitan,57210,211,9291,666,16.2,16.6,15.9,2.6,5.1,6,10,3.8,7.2,24.8,5.5,69.7,36.1,22
Bullock,Alabama,3,Non core,10107,289,1885,256,18.7,18.3,19,4.1,4.1,9,9.7,3.2,10.5,22.9,12.8,64.3,39.2,25.4
Butler,Alabama,3,Non core,20070,148,4099,320,20.4,19.6,21.1,3.7,3.8,6.1,14.4,5.7,10.7,22.1,5.5,72.4,39.5,28.6
Calhoun,Alabama,1,Metropolitan,115195,254,23041,906,20,20.3,19.8,3.5,4.7,8.8,13,4.3,9.9,25.7,9.4,64.9,35.5,27.4
Chambers,Alabama,2,Micropolitan,33733,78,6366,405,18.9,20.3,17.6,3.8,4.7,7.5,12.2,4.1,8.6,20.4,2.9,76.7,37,26.1
Cherokee,Alabama,3,Non core,25672,162,5741,437,22.4,23.8,20.9,3.9,6.7,10.1,14.3,5.6,10.9,24,2.8,73.2,40.1,24
Chilton,Alabama,1,Metropolitan,43499,134,7342,619,16.9,18.2,15.6,3,4.4,7.8,10.7,4,9.4,26.3,6.2,67.5,33.5,22.5
Choctaw,Alabama,3,Non core,13266,42,3296,268,24.8,22.8,26.7,5.9,4.6,10.2,16.1,6.1,13.5,22.2,2.1,75.7,32.2,32.2
Clarke,Alabama,3,Non core,24799,117,3830,404,15.4,13.9,16.8,3.3,4.2,6.1,9.9,4.7,9.1,19.3,7.3,73.4,31.4,27.4
Clay,Alabama,3,Non core,13265,129,2386,271,18,18.8,17.2,3.4,5.9,7.1,11.1,3.3,7.6,24.5,6.4,69.1,33.5,29.6
Cleburne,Alabama,3,Non core,14846,56,2994,321,20.2,18.8,21.5,4.4,5.6,6.4,12.9,3.7,9.2,31.6,6.6,61.8,41.7,22.9
Coffee,Alabama,2,Micropolitan,48929,295,8588,522,17.6,19,16.2,2.9,5.2,7.3,10.2,3.6,7.3,32.5,7,60.5,26.7,20.9
Colbert,Alabama,1,Metropolitan,54022,129,10819,530,20,18.6,21.3,4.5,5.3,8.5,12.2,4.3,10.4,21.3,5.9,72.8,37.7,24.6
Conecuh,Alabama,3,Non core,12818,52,3166,312,24.7,27,22.6,4.1,4.7,6.9,18.7,5.9,10.3,19.2,5.9,74.8,44.7,36.4
Coosa,Alabama,2,Micropolitan,10750,118,2378,281,22.1,19.9,24.3,4.3,4.8,11.4,13.9,5.9,11.2,15.3,2,82.7,35.9,20.4
Covington,Alabama,3,Non core,37370,169,8025,484,21.5,22.2,20.8,4.7,6.1,8.5,13.2,4.2,9.3,26,5,69,39.3,25.4
Crenshaw,Alabama,3,Non core,13763,104,2511,268,18.2,17,19.5,3.7,5.4,7.3,11.6,4.6,8.8,26.7,2.3,71,28.7,25.8
Cullman,Alabama,2,Micropolitan,80200,211,12641,646,15.8,16.3,15.3,3.3,4.8,5.5,9.8,3.8,6.9,27.8,3.8,68.4,28.8,23.6
Dale,Alabama,2,Micropolitan,47170,329,9458,616,20.1,20.5,19.7,3.8,6,9.1,11.7,3.6,8.8,32,5.6,62.4,29.2,25.2
Dallas,Alabama,2,Micropolitan,41839,135,8155,524,19.5,20.2,18.9,4.1,4.9,8.7,13.5,5.4,10.3,20.6,6.6,72.9,30.2,38.5
DeKalb,Alabama,2,Micropolitan,70374,197,10778,705,15.3,14.1,16.5,3.2,4.6,6.4,10.2,4.8,10,21.5,2.4,76.1,33,25.7
Elmore,Alabama,1,Metropolitan,75501,941,12921,949,17.1,17.4,16.8,2.7,5.1,7.7,10.3,3.1,8.6,34,6,60.1,30.2,18.4
Escambia,Alabama,2,Micropolitan,35607,212,7132,497,20,19.9,20.2,3.5,4.8,5.7,15,4.6,9.5,19.3,5.4,75.3,35,28.3
Etowah,Alabama,1,Metropolitan,102735,236,20903,879,20.3,20.5,20.2,3.4,4.8,9.3,13,4.5,10.1,23.1,5.9,71,36.3,25.4
Fayette,Alabama,3,Non core,16708,119,4332,358,25.9,28.1,23.8,5.4,8.9,11.3,15.4,5,11.4,20.7,3.9,75.5,51.1,25.7
Franklin,Alabama,3,Non core,31374,89,6003,450,19.1,18.9,19.3,4.6,5.9,7.5,11.7,4.1,9.9,29,3,68,44.2,19.8
Geneva,Alabama,1,Metropolitan,26476,136,5742,408,21.7,24.2,19.2,4.1,6.8,8.6,11.6,4.1,9.1,28.4,5.5,66.1,39.8,24
Greene,Alabama,3,Non core,8646,62,2413,241,27.9,31.6,24.6,5,6.8,15.6,15.7,6.8,16.2,11.1,13.9,74.9,49.8,35.8
Hale,Alabama,1,Metropolitan,14998,99,3060,277,20.4,20.7,20.1,3.9,4.6,9.7,12.8,5,12.3,16.6,8.6,74.8,43.2,29.4
Henry,Alabama,1,Metropolitan,17026,109,3347,298,19.7,20.5,18.8,4.2,5.7,6.2,13.9,4.9,8.9,29.2,2.7,68.1,32.4,23.2
Houston,Alabama,1,Metropolitan,102646,163,18173,477,17.7,17,18.4,3.1,4.4,7.5,10.8,3.8,7.8,26.1,6.2,67.7,30.7,23.5
Jackson,Alabama,2,Micropolitan,52366,105,8934,633,17.1,16.9,17.2,3.3,5,6.9,11.1,4.5,9,23,3.9,73.1,30.5,22
Jefferson,Alabama,1,Metropolitan,651597,998,95686,2104,14.7,14.1,15.2,2.7,3.4,5.8,9.3,3.4,7.2,27.6,6.6,65.8,28.9,25.7
Lamar,Alabama,3,Non core,13989,95,3376,368,24.1,23.8,24.4,4.7,8,9.9,14.3,3.7,10.2,23.9,8.1,67.9,41.4,27.5
Lauderdale,Alabama,1,Metropolitan,91962,219,14567,863,15.8,15.2,16.4,2.6,4.4,5.9,10.1,3.4,6.8,30.7,5.5,63.8,30,21.5
Lawrence,Alabama,1,Metropolitan,33344,111,6872,494,20.6,19,22.1,3.5,5.1,7.6,13.4,5,10.6,22.3,6.7,71,33.7,25.1
Lee,Alabama,1,Metropolitan,149037,410,17506,990,11.7,11.4,12,2,2.9,4.9,6.5,2.5,5.1,33.8,3,63.1,29.4,25.1
Limestone,Alabama,1,Metropolitan,84805,1319,11832,813,14,13.7,14.2,2.7,4.4,5.6,8.3,3,6.7,30.5,3.7,65.9,22,21.9
Lowndes,Alabama,1,Metropolitan,10604,77,2159,217,20.4,20.8,19.9,4,4.6,9.2,12.4,4.6,10.7,24.3,3.9,71.7,31,32.8
Macon,Alabama,3,Non core,19809,86,3528,244,17.8,18.1,17.5,3.7,4.3,6.9,11.7,3.8,8.5,17.7,8.5,73.8,42,21.9
Madison,Alabama,1,Metropolitan,342206,524,43509,1397,12.7,12.3,13.1,2.2,3.6,5,7.1,2.5,5.7,35.8,7,57.3,23.4,20.2
Marengo,Alabama,3,Non core,20079,134,4735,431,23.6,23.1,24,4.8,5.9,7.8,16.1,4.8,12.7,15.2,3.4,81.3,38.9,36.3
Marion,Alabama,3,Non core,29729,240,7210,489,24.3,25.7,22.8,5.3,7.8,9.4,15.9,4.3,9.2,30.4,3.7,65.9,39.7,27
Marshall,Alabama,2,Micropolitan,93431,214,16438,790,17.6,16.5,18.6,3.7,5.1,7.4,11.7,4.2,9.9,22.4,4.3,73.2,38.8,22.9
Mobile,Alabama,1,Metropolitan,406218,600,61814,1784,15.2,14.8,15.6,2.8,3.8,6.2,9.7,3.4,7.7,26.3,7.1,66.6,31.4,23.5
